subregion,Adjusted Incident Rate,Number Primary Physicians,PCP Ratio
adams,397,213,2340
alamosa,382,12,1390
arapahoe,403,536,1190
archuleta,349,11,1170
baca,378,3,1190
bent,320,1,5860
boulder,378,398,810
broomfield,408,68,980
chaffee,379,17,1120
cheyenne,417,1,1850
clear creek,395,,
conejos,281,5,1630
costilla,313,,
crowley,322,1,5690
custer,402,2,2300
delta,337,24,1270
denver,423,910,760
dolores,239,,
douglas,394,225,1460
eagle,345,43,1260
el paso,428,416,1650
elbert,387,5,5050
fremont,418,23,2060
garfield,389,51,1150
gilpin,346,2,2970
grand,313,10,1500
gunnison,300,13,1260
hinsdale,429,0,
huerfano,391,6,1110
jackson,262,1,1360
jefferson,413,470,1220
kiowa,473,0,
kit carson,354,3,2730
la plata,358,60,930
lake,314,6,1270
larimer,382,297,1140
las animas,353,10,1410
lincoln,349,1,5640
logan,372,17,1290
mesa,386,163,920
mineral,451,1,730
moffat,383,6,2180
montezuma,356,23,1170
montrose,363,26,1600
morgan,353,16,1770
otero,381,11,1660
ouray,376,5,970
park,331,3,5720
phillips,433,6,710
pitkin,311,13,1370
prowers,389,4,2980
pueblo,420,104,1590
rio blanco,359,10,650
rio grande,348,13,880
routt,377,28,880
saguache,331,2,3190
san juan,,1,690
san miguel,285,6,1340
sedgwick,299,2,1200
summit,246,22,1380
teller,408,14,1720
washington,340,1,4910
weld,381,145,2030
yuma,392,4,2530
